SEQ,CREATE_DATE,HEAT_NO,GRADE,STEEL_NAME,SPEC_ABBSYM,CAST_SPEED,STRAND_NO,TOUCH_SETTING,REAL_CUT_LENGTH,EA_WGT,REAL_WEIGHT,SHIFT_ID,ITEM_CODE,STEEL_GRP
8183963,20230705020114,4G8150, , ,0AM3**,0.559,1,11350,11350,6730550,6834,D,BB300,일반강
8183983,20230705020232,4G8150, , ,0AM3**,0.558,6,11350,11350,6730550,6906,D,BB300,일반강
8183984,20230705020405,4G8150, , ,0AM3**,0.56,3,11350,11350,6730550,6924,D,BB300,일반강
8184003,20230705020319,4G8150, , ,0AM3**,0.559,4,11350,11350,6730550,6828,D,BB300,일반강
8184023,20230705021924,4G8150, , ,0AM3**,0.56,5,11350,11300,6730550,6866,D,BB300,일반강
8184024,20230705022010,4G8150, , ,0AM3**,0.559,2,11350,11310,6730550,6824,D,BB300,일반강
8184043,20230705022352,4G8150, , ,0AM3**,0.56,3,11350,11290,6730550,6956,D,BB300,일반강
8184044,20230705022057,4G8150, , ,0AM3**,0.559,1,11350,11290,6730550,6840,D,BB300,일반강
8184063,20230705022218,4G8150, , ,0AM3**,0.562,6,11350,11290,6730550,6958,D,BB300,일반강
8184083,20230705022305,4G8150, , ,0AM3**,0.559,4,11350,11290,6730550,6856,D,BB300,일반강
8184103,20230705023902,4G8150, , ,0AM3**,0.559,5,11350,11220,6730550,6814,D,BB300,일반강
8184104,20230705023948,4G8150, , ,0AM3**,0.56,3,11350,11140,6730550,6856,D,BB300,일반강
8184123,20230705024036,4G8150, , ,0AM3**,0.56,2,11350,11250,6730550,6776,D,BB300,일반강
8184124,20230705024330,4G8150, , ,0AM3**,0.558,1,11350,11230,6730550,6804,D,BB300,일반강
8184143,20230705024157,4G8150, , ,0AM3**,0.559,6,11350,11130,6730550,6872,D,BB300,일반강
8184163,20230705024243,4G8150, , ,0AM3**,0.561,4,11350,11230,6730550,6804,D,BB300,일반강
8184183,20230705025921,4G8151, , ,0AM3**,0.56,3,11350,11060,6730550,6694,D,BB300,일반강
8184184,20230705025834,4G8151, , ,0AM3**,0.561,5,11350,11180,6730550,6674,D,BB300,일반강
8184203,20230705030007,4G8151, , ,0AM3**,0.559,1,11350,11190,6730550,6672,D,BB300,일반강
8184204,20230705030302,4G8151, , ,0AM3**,0.56,2,11350,11240,6730550,6692,D,BB300,일반강
8184205,20230705030129,4G8151, , ,0AM3**,0.561,6,11350,11040,6730550,6706,D,BB300,일반강
8184223,20230705030218,4G8151, , ,0AM3**,0.559,4,11350,11210,6730550,6712,D,BB300,일반강
8184243,20230705032203,4G8151, , ,0AM3**,0.56,3,11350,11160,6730550,6732,D,BB300,일반강
8184263,20230705031910,4G8151, , ,0AM3**,0.561,5,11350,11280,6730550,6760,D,BB300,일반강
8184283,20230705032004,4G8151, , ,0AM3**,0.558,1,11350,11290,6730550,6734,D,BB300,일반강
8184284,20230705031824,4G8151, , ,0AM3**,0.565,6,11350,11120,6730550,6714,D,BB300,일반강
8184303,20230705032254,4G8151, , ,0AM3**,0.561,2,11350,11320,6730550,6716,D,BB300,일반강
8184323,20230705032118,4G8151, , ,0AM3**,0.559,4,11350,11290,6730550,6722,D,BB300,일반강
8184343,20230705033939,4G8151, , ,0AM3**,0.559,3,11350,11200,6730550,6744,D,BB300,일반강
8184363,20230705033854,4G8151, , ,0AM3**,0.558,5,11350,11280,6730550,6746,D,BB300,일반강
8184383,20230705033807,4G8151, , ,0AM3**,0.562,6,11350,11180,6730550,6764,D,BB300,일반강
8184384,20230705034232,4G8151, , ,0AM3**,0.552,1,11350,11340,6730550,6728,D,BB300,일반강
8184403,20230705034147,4G8151, , ,0AM3**,0.559,2,11350,11340,6730550,6736,D,BB300,일반강
8184423,20230705034102,4G8151, , ,0AM3**,0.56,4,11350,11310,6730550,6754,D,BB300,일반강
8184443,20230705035925,4G8152, , ,0AM3**,0.559,3,11350,11230,6730550,6766,D,BB300,일반강
8184463,20230705035836,4G8152, , ,0AM3**,0.558,5,11350,11300,6730550,6746,D,BB300,일반강
8184464,20230705035750,4G8152, , ,0AM3**,0.56,6,11350,11180,6730550,6756,D,BB300,일반강
8184483,20230705040219,4G8152, , ,0AM3**,0.559,1,11350,11380,6730550,6756,D,BB300,일반강
8184503,20230705040135,4G8152, , ,0AM3**,0.557,2,11350,11370,6730550,6760,D,BB300,일반강
8184523,20230705040046,4G8152, , ,0AM3**,0.56,4,11350,10060,6730550,6770,D,BB300,일반강
8184543,20230705042229,4G8152, , ,0AM3**,0.56,2,10070,10280,5971510,5996,D,BB300,일반강
8184563,20230705041847,4G8152, , ,0AM3**,0.559,3,11350,11230,6730550,6768,D,BB300,일반강
