SEQ,HEAT_NO,STRAND_NO,MARKING_CODE,CUT_START_TIME,CUT_END_TIME,MOLD_START_TIME,MOLD_END_TIME,TORCH_LENGTH,CAST_LENGTH,CAST_SPEED,REAL_CUT_LENGTH,WEIGHT
8183383,4G8149,1,4G814910815806,2023/07/04 13:16:07,2023/07/04 13:18:05,2023/07/04 12:51:20,2023/07/04 12:53:18,8158,874,1.15,8328,2602
8183663,4G8149,6,4G814960815808,,,,,8158,,0,,2846
8183124,4G8149,5,4G814950815803,2023/07/04 12:48:35,2023/07/04 12:50:34,2023/07/04 12:24:25,2023/07/04 12:26:24,8158,859,1.179,8308,2626
8183084,4G8149,4,4G814940815803,2023/07/04 12:47:31,2023/07/04 12:49:33,2023/07/04 12:23:21,2023/07/04 12:25:23,8158,852,1.179,8268,2600
8183103,4G8149,3,4G814930815803,2023/07/04 12:48:13,2023/07/04 12:50:12,2023/07/04 12:23:59,2023/07/04 12:25:58,8158,857,1.176,8328,2638
8183083,4G8149,2,4G814920815803,2023/07/04 12:47:28,2023/07/04 12:49:31,2023/07/04 12:23:18,2023/07/04 12:25:21,8158,855,1.179,8258,2572
8183683,4G8149,1,4G814910815807,,,,,8158,,0,,4
8183923,4G8150,5,4G815051135002O,2023/07/05 01:50:01,2023/07/05 01:53:45,2023/07/05 00:59:07,2023/07/05 01:02:51,11350,44,0.56,11350,6852
8183943,4G8150,2,4G815021135002O,2023/07/05 01:50:10,2023/07/05 01:53:59,2023/07/05 00:59:11,2023/07/05 01:03:00,11350,44,0.559,11350,6802
8183963,4G8150,1,4G815011135002O,2023/07/05 01:50:25,2023/07/05 01:54:11,2023/07/05 00:59:26,2023/07/05 01:03:12,11350,43,0.559,11350,6834
8183983,4G8150,6,4G815061135002O,2023/07/05 01:50:14,2023/07/05 01:54:24,2023/07/05 00:59:09,2023/07/05 01:03:19,11350,44,0.558,11350,6906
8184003,4G8150,4,4G815041135002O,2023/07/05 01:51:02,2023/07/05 01:54:50,2023/07/05 01:00:03,2023/07/05 01:03:51,11350,44,0.559,11350,6828
8183984,4G8150,3,4G815031135002O,2023/07/05 01:50:17,2023/07/05 01:54:28,2023/07/05 00:59:23,2023/07/05 01:03:34,11350,44,0.56,11350,6924
8184023,4G8150,5,4G815051135003O,2023/07/05 02:09:52,2023/07/05 02:13:45,2023/07/05 01:18:58,2023/07/05 01:22:51,11350,55,0.56,11300,6866
8184024,4G8150,2,4G815021135003O,2023/07/05 02:10:06,2023/07/05 02:13:53,2023/07/05 01:19:07,2023/07/05 01:22:54,11350,55,0.559,11310,6824
8184044,4G8150,1,4G815011135003O,2023/07/05 02:10:12,2023/07/05 02:14:07,2023/07/05 01:19:13,2023/07/05 01:23:08,11350,55,0.559,11290,6840
8184063,4G8150,6,4G815061135003O,2023/07/05 02:10:11,2023/07/05 02:14:20,2023/07/05 01:19:28,2023/07/05 01:23:37,11350,55,0.562,11290,6958
8184083,4G8150,4,4G815041135003O,2023/07/05 02:10:57,2023/07/05 02:14:42,2023/07/05 01:19:58,2023/07/05 01:23:43,11350,55,0.559,11290,6856
8184043,4G8150,3,4G815031135003O,2023/07/05 02:10:05,2023/07/05 02:14:07,2023/07/05 01:19:11,2023/07/05 01:23:13,11350,55,0.56,11290,6956
8184103,4G8150,5,4G815051135004O,2023/07/05 02:29:35,2023/07/05 02:33:24,2023/07/05 01:38:36,2023/07/05 01:42:25,11350,66,0.559,11220,6814
8184104,4G8150,3,4G815031135004O,2023/07/05 02:29:39,2023/07/05 02:33:34,2023/07/05 01:38:45,2023/07/05 01:42:40,11350,66,0.56,11140,6856
8184123,4G8150,2,4G815021135004O,2023/07/05 02:29:55,2023/07/05 02:33:44,2023/07/05 01:39:01,2023/07/05 01:42:50,11350,66,0.56,11250,6776
8184143,4G8150,6,4G815061135004O,2023/07/05 02:29:49,2023/07/05 02:33:58,2023/07/05 01:38:50,2023/07/05 01:42:59,11350,66,0.559,11130,6872
8184163,4G8150,4,4G815041135004O,2023/07/05 02:30:49,2023/07/05 02:34:33,2023/07/05 01:40:01,2023/07/05 01:43:45,11350,66,0.561,11230,6804
8184124,4G8150,1,4G815011135004O,2023/07/05 02:29:51,2023/07/05 02:33:45,2023/07/05 01:38:46,2023/07/05 01:42:40,11350,66,0.558,11230,6804
8184184,4G8151,5,4G815151135001O,2023/07/05 02:49:10,2023/07/05 02:53:05,2023/07/05 01:58:22,2023/07/05 02:02:17,11350,77,0.561,11180,6674
8184183,4G8151,3,4G815131135001O,2023/07/05 02:49:06,2023/07/05 02:53:02,2023/07/05 01:58:12,2023/07/05 02:02:08,11350,77,0.56,11060,6694
8184203,4G8151,1,4G815111135001O,2023/07/05 02:49:26,2023/07/05 02:53:20,2023/07/05 01:58:27,2023/07/05 02:02:21,11350,77,0.559,11190,6672
8184205,4G8151,6,4G815161135001O,2023/07/05 02:49:20,2023/07/05 02:53:30,2023/07/05 01:58:32,2023/07/05 02:02:42,11350,77,0.561,11040,6706
8184223,4G8151,4,4G815141135001O,2023/07/05 02:50:39,2023/07/05 02:54:29,2023/07/05 01:59:40,2023/07/05 02:03:30,11350,77,0.559,11210,6712
8184204,4G8151,2,4G815121135001O,2023/07/05 02:49:42,2023/07/05 02:53:28,2023/07/05 01:58:48,2023/07/05 02:02:34,11350,77,0.56,11240,6692
8184284,4G8151,6,4G815161135002O,2023/07/05 03:08:57,2023/07/05 03:13:06,2023/07/05 02:18:30,2023/07/05 02:22:39,11350,88,0.565,11120,6714
8184263,4G8151,5,4G815151135002O,2023/07/05 03:08:58,2023/07/05 03:12:51,2023/07/05 02:18:10,2023/07/05 02:22:03,11350,88,0.561,11280,6760
8184283,4G8151,1,4G815111135002O,2023/07/05 03:09:09,2023/07/05 03:13:04,2023/07/05 02:18:04,2023/07/05 02:21:59,11350,88,0.558,11290,6734
8184323,4G8151,4,4G815141135002O,2023/07/05 03:10:34,2023/07/05 03:14:23,2023/07/05 02:19:35,2023/07/05 02:23:24,11350,88,0.559,11290,6722
8184243,4G8151,3,4G815131135002O,2023/07/05 03:08:42,2023/07/05 03:12:42,2023/07/05 02:17:48,2023/07/05 02:21:48,11350,88,0.56,11160,6732
8184303,4G8151,2,4G815121135002O,2023/07/05 03:09:36,2023/07/05 03:13:22,2023/07/05 02:18:48,2023/07/05 02:22:34,11350,89,0.561,11320,6716
8184383,4G8151,6,4G815161135003O,2023/07/05 03:28:39,2023/07/05 03:32:49,2023/07/05 02:37:56,2023/07/05 02:42:06,11350,99,0.562,11180,6764
